,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,2,1,0,0,0,0,0,0,2
2,0,2,1,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,1,0,1,0,0,0,0,2,2
4,0,0,1,3,5,3,1,2,0,0,0,2,3
5,0,0,0,1,3,10,1,1,0,0,0,5,14
6,0,0,0,0,2,3,3,1,0,1,0,3,2
7,0,1,0,0,0,0,0,2,0,0,0,3,1
8,0,0,0,0,0,0,1,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,2,0,1,2,1,0,0,1,0,0,50,30
Y,0,2,1,1,6,18,8,2,0,0,0,30,698
