,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,1,0,0,0,0,0,0,0,0,0,0,2,0
1,0,4,1,1,1,5,1,2,0,0,0,0,2
2,0,3,0,0,0,1,0,1,0,0,0,0,0
3,0,0,1,0,2,1,0,3,0,0,0,4,4
4,0,0,0,2,3,6,3,5,1,0,0,3,7
5,0,3,1,4,5,15,2,2,0,1,0,11,9
6,0,0,0,0,4,3,5,1,0,0,0,6,5
7,0,1,0,1,0,3,7,4,2,0,0,4,4
8,0,0,0,1,0,0,1,0,0,0,0,2,1
9,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
X,1,2,0,2,5,8,3,1,0,0,0,161,30
Y,1,4,2,5,10,13,6,7,3,0,0,41,1406
