,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,1,0,0,0,0,0,0,0,0,0,0,2,0
1,0,11,2,1,3,8,2,3,0,0,0,0,0
2,0,3,0,0,0,1,0,2,0,0,0,1,0
3,0,0,1,81,3,3,0,3,0,0,0,5,0
4,0,0,0,5,99,16,5,11,2,0,0,20,0
5,0,8,3,5,12,292,47,11,0,2,0,24,0
6,0,1,1,2,8,12,51,7,6,0,0,20,0
7,0,4,0,1,2,13,26,28,8,1,1,7,0
8,0,0,0,1,0,2,3,9,17,1,0,11,0
9,0,1,0,0,1,0,2,0,0,1,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0,0
X,1,2,0,4,16,19,13,4,4,0,0,721,0
Y,1,1,0,0,4,6,5,7,1,0,0,15,1316
