,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,2,0,0,2,0,0,0,0,3
2,0,1,0,0,1,2,0,0,0,0,0,0,0
3,0,0,0,0,1,1,1,1,0,0,0,3,3
4,0,0,1,3,3,6,4,3,0,0,0,5,6
5,0,3,1,2,6,20,5,4,0,0,0,6,16
6,0,1,0,1,4,7,8,4,1,0,0,7,6
7,0,0,0,0,1,5,8,6,4,0,0,3,5
8,0,0,0,1,0,0,0,2,1,1,1,1,0
9,0,0,0,0,0,0,1,0,1,1,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0
X,0,2,0,1,4,6,4,1,1,0,0,104,32
Y,1,3,1,2,11,20,9,12,0,0,0,41,1261
