,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,0,4,0,2,0,2,0,0,0,0,0,0,2
2,0,0,0,0,0,1,1,1,0,0,0,0,0
3,0,0,1,0,0,0,1,1,0,0,0,2,2
4,0,0,0,0,0,4,0,1,0,0,0,5,8
5,0,1,1,1,1,10,4,4,3,1,0,5,8
6,0,1,0,0,2,5,5,3,3,0,0,8,9
7,0,0,0,2,1,5,7,4,1,1,0,4,3
8,0,1,0,0,0,1,2,2,0,0,0,1,2
9,0,1,0,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0
X,1,0,0,2,4,4,4,3,1,0,0,82,38
Y,1,2,1,1,10,9,14,11,4,0,0,47,930
