,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,1,3,1,0,0,0,0,0,0,2
5,0,0,0,0,2,7,1,0,0,0,0,1,10
6,0,0,0,0,2,1,2,1,0,1,0,2,2
7,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,11,16
Y,0,1,1,0,1,13,6,0,0,0,0,14,196
