,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,1,0,0,0,0,0,0,0,0,0,0,2,0
1,0,4,1,1,1,5,1,2,0,0,0,0,4
2,0,3,0,0,0,1,0,2,0,0,0,1,0
3,0,0,1,0,2,2,0,3,0,0,0,5,4
4,0,0,0,2,5,9,5,9,1,0,0,4,15
5,0,3,2,4,7,29,10,8,0,2,0,16,23
6,0,1,0,2,7,10,15,5,6,0,0,14,13
7,0,2,0,1,1,11,13,13,5,1,1,5,9
8,0,0,0,1,0,2,2,3,2,1,0,3,2
9,0,1,0,0,1,0,2,0,0,1,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0,0
X,1,2,0,2,8,11,7,3,1,0,0,200,57
Y,1,4,3,5,19,28,23,16,5,0,0,77,2257
