,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,2,0,0,0,0,0,1,2
4,0,0,0,0,2,2,1,0,0,0,0,1,3
5,0,0,0,2,1,8,4,3,0,0,0,0,8
6,0,0,0,2,1,0,4,6,2,0,0,2,8
7,0,0,0,0,0,3,8,7,3,1,1,5,5
8,0,0,0,0,0,2,2,1,3,1,0,2,0
9,0,0,0,0,0,0,0,0,1,0,0,1,0
10,0,0,0,0,0,0,0,1,0,0,0,0,0
X,0,0,0,0,2,1,4,1,0,0,0,50,21
Y,1,1,0,1,2,7,5,9,4,0,0,27,700
