,0,1,2,3,4,5,6,7,8,9,10,X,Y
0,1,0,0,0,0,0,0,0,0,0,0,2,0
1,0,1,0,0,0,1,1,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1,0,0,0,1,0
3,0,0,0,0,2,2,0,0,0,0,0,3,3
4,0,0,0,2,3,5,3,5,0,0,0,4,11
5,0,0,1,0,3,14,9,8,0,1,0,15,16
6,0,1,0,2,5,8,10,4,6,0,0,12,9
7,0,2,0,0,1,8,8,10,5,1,1,3,6
8,0,0,0,0,0,2,2,3,2,1,0,2,2
9,0,0,0,0,1,0,2,0,0,1,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0,0
X,1,1,0,1,5,11,6,3,1,0,0,159,52
Y,1,0,1,5,14,18,17,13,4,0,0,64,1713
